feature,anomaly_mean,normal_mean,difference
mean_speed_on_paper_C_G_ratio,-0.0835455035944868,0.015345092496946799,-0.0988905960914336
max_x_extension_G_mean,-0.07599308399422211,0.013957913386695438,-0.08995099738091755
num_of_pendown_M_G_ratio,0.39619328959490807,-0.072770196048044,0.4689634856429521
mean_acc_on_paper_M_mean,0.46975803261825294,-0.08628208762375993,0.5560401202420129
mean_acc_on_paper_C_mean,-0.1777998708062397,0.03265711912767755,-0.21045698993391726
num_of_pendown_G_mean,0.6605824735896303,-0.12133147474095209,0.7819139483305824
total_time_C_G_ratio,0.7373789007703159,-0.13543694095781303,0.8728158417281289
num_of_pendown_M_mean,0.5914553124802779,-0.10863464923107145,0.7000899617113494
num_of_pendown_C_G_ratio,0.1988846997119786,-0.036529842804241076,0.23541454251621968
mean_speed_on_paper_G_mean,-0.5066074178919625,0.09305034206178923,-0.5996577599537517
pressure_mean_C_G_ratio,0.04791192911016104,-0.008800150244723725,0.056712079354884766
total_time_C_mean,0.6270659379797549,-0.11517537636362842,0.7422413143433833
max_y_extension_G_mean,0.020965428143531688,-0.0038507929243219805,0.024816221067853667
mean_speed_on_paper_M_mean,-0.006750608589820649,0.0012399077001711135,-0.007990516289991763
total_time_M_G_ratio,0.3364351707871696,-0.061794215042541456,0.39822938582971107
gmrt_on_paper_C_mean,-0.40706986495456504,0.07476793437940951,-0.4818377993339745
max_x_extension_C_mean,0.22356264868119138,-0.04106252730878959,0.264625175989981
max_x_extension_M_mean,0.48762771565072666,-0.0895642743031951,0.5771919899539217
pressure_mean_C_mean,-0.4630218583639606,0.08504483112807404,-0.5480666894920346
total_time_M_mean,0.7197384939020894,-0.13219686622691426,0.8519353601290037
mean_acc_on_paper_G_mean,-0.11901544525182223,0.021859979740132283,-0.14087542499195452
pressure_mean_M_mean,-0.6091572960650188,0.1118860339711259,-0.7210433300361447
gmrt_on_paper_C_G_ratio,-0.01636327943487492,0.003005500304364803,-0.01936877973923972
total_time_G_mean,0.6776302784098193,-0.12446270419772199,0.8020929826075412
mean_speed_on_paper_M_G_ratio,0.4246773230073219,-0.07800195728705933,0.5026792802943812
num_of_pendown_C_mean,0.699586743110384,-0.1284955242447642,0.8280822673551482
gmrt_on_paper_G_mean,-0.4995753749977563,0.09175874234652673,-0.591334117344283
gmrt_on_paper_M_G_ratio,0.3928620505705777,-0.0721583358190853,0.46502038638966303
pressure_mean_M_G_ratio,-0.15168842922692977,0.027861140062090003,-0.17954956928901977
gmrt_on_paper_M_mean,-0.005597082073208115,0.0010280354828338565,-0.006625117556041971
max_y_extension_C_mean,0.14553946598218204,-0.026731738649789092,0.17227120463197113
max_y_extension_M_mean,-0.02111900661634701,0.0038790012152460315,-0.024998007831593044
mean_acc_on_paper_C_G_ratio,-0.09564107125171821,0.017566727372763644,-0.11320779862448185
mean_speed_on_paper_C_mean,-0.4165553481445445,0.07651016598573336,-0.4930655141302778
pressure_mean_G_mean,-0.5383124721696954,0.0988737193781071,-0.6371861915478024
mean_acc_on_paper_M_G_ratio,0.5131862136336356,-0.09425869230005544,0.607444905933691
