,H_mean,H_std,P_mean,P_std,diff
num_of_pendown_G_mean,-0.345796209329863,0.8371088677553581,0.3302548066633529,1.0404650663142285,0.6760510159932158
max_y_extension_G_mean,-0.33922088860370797,1.027241653634541,0.3239750059698337,0.8675895525285144,0.6631958945735417
num_of_pendown_M_mean,-0.31046031002934177,0.5886908080065008,0.2965070376684724,1.2101459580710003,0.6069673476978141
num_of_pendown_M_G_ratio,-0.23009011160006196,0.6548099409546143,0.21974898298882375,1.2116152405870462,0.4498390945888857
max_x_extension_G_mean,-0.22835410977106801,0.9002532588775917,0.21809100371394397,1.0512771338599873,0.446445113485012
total_time_G_mean,-0.22801040870146377,0.5365604523735256,0.2177627498834203,1.2666041023914205,0.4457731585848841
num_of_pendown_C_mean,-0.1760976894122557,0.8780020845194263,0.16818318651732322,1.0875960555806266,0.3442808759295789
total_time_M_mean,-0.15206214010772373,1.1684333571384424,0.14522788661973624,0.7939943306813771,0.29729002672745997
max_y_extension_C_mean,-0.1458814869830775,0.8650112533123355,0.1393250156579946,1.105826125872641,0.2852065026410721
mean_acc_on_paper_M_G_ratio,-0.01710725786315391,1.1022393150553824,0.016338392341214612,0.9038875600784109,0.03344565020436852
max_x_extension_C_mean,-0.009239442999184996,0.9781693843407885,0.008824187134054204,1.03140088287583,0.0180636301332392
mean_acc_on_paper_M_mean,-0.0016518807745977927,1.124368481121918,0.0015776389420329659,0.8777966353770489,0.0032295197166307583
pressure_mean_M_G_ratio,0.008631284898416887,0.6914047585471608,-0.00824336198163267,1.233215560250621,-0.016874646880049558
mean_acc_on_paper_G_mean,0.021428835955840577,0.9252670723096503,-0.02046574220501351,1.0766619396833477,-0.04189457816085409
mean_acc_on_paper_C_G_ratio,0.023341654171920433,0.9647490352053398,-0.022292591063071684,1.0429810909033106,-0.04563424523499211
mean_acc_on_paper_C_mean,0.046988007394591365,0.9839761689510265,-0.04487618683752964,1.0241600310988954,-0.091864194232121
max_y_extension_M_mean,0.11509212112382512,0.6319327368420803,-0.10991944152275661,1.2534238355813687,-0.22501156264658173
num_of_pendown_C_G_ratio,0.11809394511015121,0.878683833161495,-0.11278635207149289,1.101792256628787,-0.2308802971816441
total_time_M_G_ratio,0.16283909683009037,1.381656489249201,-0.15552048573660335,0.3240302166440277,-0.3183595825666937
max_x_extension_M_mean,0.172086261946388,0.8911410943571291,-0.1643520479263263,1.0785705989573435,-0.3364383098727143
mean_speed_on_paper_C_G_ratio,0.18064494387720043,0.7625704940509538,-0.17252606999507863,1.1664337980782848,-0.35317101387227906
pressure_mean_C_G_ratio,0.19111467834469373,0.7469489103731759,-0.18252525459886523,1.172913858431456,-0.37363993294355896
gmrt_on_paper_C_G_ratio,0.19325916534824392,0.8505287451290954,-0.18457336016405304,1.1028259456196394,-0.37783252551229696
total_time_C_mean,0.21698627651129795,1.4047954731563417,-0.20723408430854295,0.0679173376759338,-0.42422036081984094
pressure_mean_M_mean,0.4270839857732042,0.5046026665201534,-0.40788919989575667,1.1788875921736985,-0.8349731856689608
pressure_mean_G_mean,0.4357068756739999,0.5745220565884875,-0.4161245441830339,1.1417988279512634,-0.8518314198570338
pressure_mean_C_mean,0.4684672987383377,0.4700661232370391,-0.4474125886826828,1.1627216187163636,-0.9158798874210206
